Obs_Num,Samp_Site,Year,taxa_rich,ept_index ,perc_ept,fbi,perc_dom,perc_dipt_non_insect,perc_col_gath,s_tax_rich,s_ept_index,scor_ept,s_fbi,s_dom,s_dipt_non_insect,perc_col_gath,Total Score (Old),New Score,Max Health Score,Present Condition,Dominant Family,,
AMH1a7,AMH1,1993,12,2,0.319672131,5.520661157,0.344262295,0.081967213,0.467213115,3,3,3,3,3,3,0,18,12,24,0.5,Taltridae,,
AMH1b6,AMH1,1994,7,2,0.041237113,3.18556701,0.536082474,0.93814433,0.268041237,0,3,6,6,3,6,3,27,24,24,1,Brachycentridae,,
AMH1d7,AMH1,1996,8,5,0.755102041,4.744897959,0.459183673,0.12244898,0.581632653,3,3,6,3,3,6,3,27,21,24,0.875,Hydropsychidae,,
AMH1p6,AMH1,2008,9,0,0,6.876923077,0.471698113,0.962264151,0.943396226,3,0,0,0,3,0,0,6,0,24,0,Chironomidae,,
AMH1v6,AMH1,2014,9,2,0.046728972,6.794392523,0.504672897,0.841121495,0.943925234,3,0,0,0,3,0,0,6,0,24,0,Oligochaeta,,
BEA1a6,BEA1,1993,9,3,0.066666667,7.066666667,0.591666667,0.883333333,0.95,3,3,0,0,3,0,0,9,3,24,0.375,Taltridae,,
BEAR1b6,BEA1,1994,9,2,0.157407407,5.703703704,0.564814815,0.814814815,0.75,3,0,0,3,3,0,3,12,6,18,0.666666667,Oligichaeta,,
BEA1d7,BEA1,1996,7,2,0.41,5.2,0.52,0.54,0.61,0,3,3,3,3,3,3,18,15,18,1,Gammaridae,,
BEA1t6,BEA1,2012,9,3,0.176,5.322666667,0.709333333,0.802666667,0.866666667,3,3,0,3,0,0,0,9,6,18,0.5,Chironomidae,,
BEA1u6,BEA1,2013,17,5,0.258660508,5.695150115,0.525404157,0.692840647,0.877598152,6,6,3,3,3,3,0,24,15,18,1.333333333,Chironomidae,,
BEA2b6,BEA2,1994,11,4,0.257142857,6.857142857,0.257142857,0.733333333,0.647619048,3,3,3,3,6,0,3,21,12,27,0.777777778,Taltridae/Oligochaeta,,
BEA2d7,BEA2,1996,10,5,0.6,4.69,0.46,0.31,0.43,3,6,6,3,3,3,3,27,21,27,1,Hydropsychidae,,
BEA2t6,BEA2,2012,10,1,0.00729927,7.080291971,0.452554745,0.95620438,0.854014599,3,0,0,0,3,0,0,6,0,27,0,Chironomidae,,
BEA2u6,BEA2,2013,7,2,0.103448276,6.206896552,0.637931034,0.827586207,0.913793103,0,0,0,3,0,0,0,3,3,27,0.111111111,Chironomidae,,
BEA3a6,BEA3,1993,7,2,0.61038961,4.779220779,0.506493506,0.207792208,0.402597403,3,3,6,6,3,6,3,30,24,30,0.8,Hydropsychidae,,
BEA3d8,BEA3,1996,9,1,0.76,4.52,0.71,0.14,0.18,3,3,6,6,0,6,6,30,27,30,0.9,Heptageniidae,,
BEA3t6,BEA3,2012,6,4,0.363636364,5.590909091,0.242424242,0.606060606,0.704545455,0,3,3,3,6,0,0,15,9,30,0.3,Chironomidae,,
BEA3u6,BEA3,2013,6,1,0.515463918,4.53125,0.268041237,0.412371134,0.463917526,0,0,3,3,6,3,3,18,12,30,0.4,Chironomidae/Hydropsychidae,,
BEL1a6,BEL1,1993,6,3,0.066666667,7.066666667,0.591666667,0.883333333,0.95,3,3,0,0,3,0,0,9,3,30,0.1,Taltridae,,
BEL1b6,BEL1,1994,11,7,0.744444444,4.511111111,0.655555556,0.188888889,0.288888889,3,6,6,6,0,6,6,33,30,30,1,Heptageniidae,,
BEL1d8,BEL1,1996,13,6,0.59,3.75,0.25,0.11,0.24,6,6,3,6,6,6,6,39,27,30,0.9,Dryopidae,,
BEL1t6,BEL1,2012,13,5,0.17,6.9,0.43,0.81,0.85,6,3,0,0,3,0,0,12,3,30,0.1,Chironomidae,,
BEL1u6,BEL1,2013,6,3,0.29,6.3,0.44,0.68,0.72,3,3,0,3,3,0,0,12,6,30,0.2,Chironomidae,,
EAN1b7,EAN1,1994,9,2,0.099099099,6.293693694,0.54954955,0.864864865,0,3,3,3,3,3,6,6,27,21,30,0.9,Tabanidae,,
EAN1d8,EAN1,1996,9,3,0.567307692,5.059615385,0.240384615,0.375,0.259615385,6,3,0,3,6,6,6,30,18,30,1,Caenidae,,
EANt6,EAN1,2012,12,2,0.012269939,7.71257485,0.736196319,0.883435583,0.791411043,6,0,0,0,0,0,0,6,0,30,0.2,Chironomidae,,
EANu6,EAN1,2013,4,0,0,7.974358974,0.811965812,1,0.948717949,0,0,0,0,0,0,0,0,0,30,0,Chironomidae,,
EAN2u6,EAN2,2013,5,1,0.010526316,6.957446809,0.431578947,0.989473684,0.684210526,0,0,0,0,3,0,0,3,0,0,0,Chironomidae,,
LON1t6,LON1,2012,10,4,0.101851852,6.226851852,0.541666667,0.884259259,0.666666667,6,3,0,3,0,0,0,12,6,12,1,Chironomidae,,
LON1u6,LON1,2013,9,3,0.126760563,5.58685446,0.568075117,0.779342723,0.835680751,6,3,0,3,0,0,0,12,6,12,1,Chironomidae,,
LWR1a6,LWR1,1993,3,0,0,6.058252427,0.519417476,0.941747573,0,0,0,0,3,0,0,6,9,9,15,0.6,Simulidae,,
LWR1b5,LWR1,1994,8,0,0,6.468085106,0.463157895,0.863157895,0.126315789,3,0,0,3,3,0,6,15,9,15,0.6,Ceratopogonidae,,
LWR1d8,LWR1,1996,13,3,1,5.101010101,0.171717172,0.343434343,0.373737374,6,3,3,3,3,3,0,21,12,15,0.8,Hydropsychidae,,
LWR1r6,LWR1,2010,11,1,0,7.38742515,0.640718563,0.892215569,0.80239521,6,0,0,0,0,0,0,6,0,15,0,Culcidae,,
LWR1s7_1,LWR1,2011,8,1,0,6.511428571,0.39047619,0.8,0.80952381,3,0,0,3,3,0,0,9,3,15,0.2,Talitridae,,
LWR1s7_2,LWR1,2011,12,2,0,6.342857143,0.36,0.78,0.72,6,0,0,3,3,0,0,12,3,15,0.2,Ptilodactylia,,
LWR1t6,LWR1,2012,13,1,0,7.078947368,0.264957265,0.888888889,0.658119658,6,0,0,0,6,0,0,12,0,15,0,Chironomidae,,
LWR1v6,LWR1,2014,9,4,1,5.031578947,0.378947368,0.452631579,0.557894737,6,3,6,3,3,3,0,24,15,15,1,Chiron & Ephemeridae,,
LWR1a6,LWR1,1993,3,0,0,6.058252427,0.519417476,0.941747573,0,0,0,0,3,0,0,6,9,9,15,0.6,Simulidae,,
